file,verdict,likely_front,failure_cat,max_ring,any_feature_a,flange_hough,total_marks,max_marks_hole,best_circ,top8_circs,n_holes,ok_corners,low_circ_corners,gate_miss_corners,hough_miss_corners,oof_corners
20260906_095035_CAM#000121_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),4,True,Y,2,1,0.873,0.87|0.86|0.00|0.00|0.00|0.00|0.00|0.00,10,2,0,10,27,1
20260906_095036_CAM#000122_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,2,1,0.865,0.86|0.85|0.00|0.00|0.00|0.00|0.00|0.00,10,2,0,5,32,1
20260906_095036_CAM#000124_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,0,27,1
20260906_095036_CAM#000125_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,0,34,2
20260906_095037_CAM#000126_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,1,29,2
20260906_095037_CAM#000127_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,0,29,3
20260906_095040_CAM#000130_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,2,1,0.872,0.87|0.86|0.00|0.00|0.00|0.00|0.00|0.00,9,2,0,4,29,1
20260906_095040_CAM#000131_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,21,4,0.891,0.89|0.89|0.88|0.88|0.88|0.87|0.86|0.86,8,21,2,2,6,1
20260906_095041_CAM#000132_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,4,0,0,1,15,0
20260906_095041_CAM#000133_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,6,0,0,0,23,1
20260906_095044_CAM#000136_NG_HOLE_NOT_FOUND.jpg,NG_HOLE_NOT_FOUND,NO,-,0,False,,0,0,0.0,,0,0,0,0,0,0
20260906_095045_CAM#000137_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,11,0,0,5,34,5
20260906_100112_CAM#000138_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,1,1,0.866,0.87|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,1,0,5,26,0
20260906_100113_CAM#000139_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,2,30,4
20260906_100115_CAM#000141_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,1,1,0.855,0.85|0.00|0.00|0.00|0.00|0.00|0.00|0.00,4,1,0,1,14,0
20260906_100117_CAM#000142_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,1,1,0.821,0.82|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,1,0,4,26,1
20260906_100119_CAM#000143_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,5,0,0,0,19,1
20260906_100123_CAM#000145_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,2,26,0
20260906_100128_CAM#000147_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,12,4,0.881,0.88|0.87|0.87|0.87|0.87|0.86|0.86|0.85,7,12,0,2,13,1
20260906_100130_CAM#000148_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,12,4,0.873,0.87|0.87|0.87|0.87|0.87|0.86|0.86|0.86,6,12,0,2,9,1
20260906_100132_CAM#000149_NG_NO_FEATURE.jpg,OK,YES,-,2,True,Y,7,3,0.892,0.89|0.89|0.87|0.86|0.85|0.85|0.83|0.00,6,7,0,1,15,1
20260906_100135_CAM#000150_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,0,32,0
20260906_100141_CAM#000153_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,2,1,0.852,0.85|0.84|0.00|0.00|0.00|0.00|0.00|0.00,7,2,0,0,26,0
20260906_100146_CAM#000156_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,C/D(other),3,True,Y,3,2,0.864,0.86|0.85|0.85|0.00|0.00|0.00|0.00|0.00,7,3,0,0,22,3
20260906_100148_CAM#000157_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),4,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,9,0,0,0,34,2
20260906_100150_CAM#000158_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,2,1,0.839,0.84|0.83|0.00|0.00|0.00|0.00|0.00|0.00,8,2,0,0,29,1
20260906_100152_CAM#000159_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,8,3,0.864,0.86|0.86|0.86|0.86|0.86|0.84|0.80|0.78,6,8,0,1,15,0
20260906_100154_CAM#000160_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,6,0,0,1,22,1
20260906_100203_CAM#000163_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,1,26,1
20260906_100206_CAM#000164_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,8,2,0.886,0.89|0.87|0.87|0.87|0.86|0.86|0.86|0.84,6,8,0,3,12,1
20260906_100212_CAM#000167_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,1,1,0.86,0.86|0.00|0.00|0.00|0.00|0.00|0.00|0.00,5,1,0,0,19,0
20260906_100218_CAM#000170_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,4,1,0.884,0.88|0.88|0.88|0.88|0.00|0.00|0.00|0.00,7,4,0,0,23,1
20260906_100227_CAM#000173_NG_NO_FEATURE.jpg,OK,YES,-,3,True,Y,12,2,0.879,0.88|0.88|0.87|0.87|0.87|0.86|0.86|0.85,7,12,0,1,14,1
20260906_100229_CAM#000174_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,4,0,0,1,15,0
20260906_100236_CAM#000176_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,3,0,0,1,11,0
20260906_100246_CAM#000181_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,0,28,0
20260906_100248_CAM#000182_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,0,28,0
20260906_100250_CAM#000183_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),2,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,1,29,2
20260906_100253_CAM#000185_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,8,0,0,2,29,1
20260906_100303_CAM#000190_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,6,0,0,0,24,0
20260906_100305_CAM#000191_NG_NO_FEATURE.jpg,NG_NO_FEATURE,YES,B(hough_miss),3,True,Y,0,0,0.0,0.00|0.00|0.00|0.00|0.00|0.00|0.00|0.00,7,0,0,2,26,0
